"","GPS_LAT","GPS_LONG","class"
"701",56.3099,24.49937,"3"
"702",57.4846,25.26272,"3"
"703",57.51522,25.49002,"3"
"704",57.41615,25.55049,"3"
"705",57.325,25.54354,"3"
"706",57.35982,25.56063,"3"
"707",57.48219,25.61294,"3"
"708",57.55211,25.64301,"3"
"709",57.11114,25.48952,"3"
"710",57.38699,25.64056,"3"
"711",57.03345,25.52464,"3"
"712",57.22187,25.63821,"3"
"713",57.22368,25.77508,"3"
"714",57.53807,25.91157,"3"
"715",57.54688,25.98442,"3"
"716",55.80166,26.40429,"3"
"717",55.74533,26.41325,"3"
"718",55.69821,26.49156,"3"
"719",55.82016,26.54373,"3"
"720",55.68997,26.55365,"3"
"721",55.81193,26.60601,"3"
"722",55.73815,26.60718,"3"
"723",55.86005,26.65973,"3"
"724",55.9297,26.68999,"3"
"725",55.94007,27.02491,"3"
"726",55.966671,27.23535,"3"
"727",55.87332,26.69844,"3"
"728",57.50743,27.44687,"3"
"729",55.7299,26.66922,"3"
"730",55.854876,26.724841,"3"
"731",55.8866,26.73706,"3"
"732",55.92424,26.74623,"3"
"733",55.88242,26.76828,"3"
"734",57.46398,27.49493,"3"
"735",55.82611,26.77668,"3"
"736",55.98269,26.84535,"3"
"737",55.87408,26.83069,"3"
"738",55.93953,26.89245,"3"
"739",55.97434,26.90784,"3"
"740",57.25547,27.66921,"3"
"741",57.19468,27.70832,"3"
"742",55.95777,27.16446,"3"
"743",56.11425,27.23571,"3"
"744",56.30496,27.32365,"3"
"745",56.3575,27.34509,"3"
"746",56.58308,27.45135,"3"
"747",56.61766,27.46723,"3"
"748",57.21038,27.74708,"3"
"749",57.24458,27.76804,"3"
"750",55.97098,27.20418,"3"
"751",56.05786,27.24336,"3"
"752",56.39301,26.65781,"3"
"753",56.4288,26.67652,"3"
"754",56.55068,26.73064,"3"
"755",57.29867,27.07246,"3"
"756",57.33343,27.08873,"3"
"757",56.14606,26.58563,"3"
"758",56.37243,26.68496,"3"
"759",56.56392,26.77009,"3"
"760",57.20325,27.09629,"3"
"761",57.35966,27.16974,"3"
"762",56.33986,27.20491,"3"
"763",56.40936,27.23668,"3"
"764",56.73516,21.36778,"3"
"765",56.77927,22.27782,"3"
"766",56.92488,26.2561,"3"
"767",56.95976,26.2714,"3"
"768",56.41469,23.54596,"3"
"769",56.4499,23.5585,"3"
"770",56.52023,23.58641,"3"
"771",56.44704,23.75634,"3"
"772",56.51693,23.78719,"3"
"773",57.3118,27.1129,"3"
"774",57.34652,27.12919,"3"
"775",56.17675,26.63222,"3"
"776",56.33347,26.7011,"3"
"777",56.42053,26.73969,"3"
"778",56.49016,26.77068,"3"
"779",56.57684,26.81629,"3"
"780",57.43396,27.19678,"3"
"781",56.3119,26.72491,"3"
"782",56.34673,26.74042,"3"
"783",57.4075,27.22675,"3"
"784",56.13367,26.67975,"3"
"785",56.16859,26.69496,"3"
"786",56.41214,26.8028,"3"
"787",56.44697,26.81838,"3"
"788",56.48178,26.83395,"3"
"789",56.04246,26.67303,"3"
"790",56.07728,26.68826,"3"
"791",56.19915,26.74172,"3"
"792",56.23396,26.7571,"3"
"793",56.35509,26.8094,"3"
"794",56.39061,26.82665,"3"
"795",57.29662,27.23769,"3"
"796",56.5267,27.45876,"3"
"797",56.00147,27.25104,"3"
"798",56.07095,27.28252,"3"
"799",56.31427,27.3937,"3"
"800",56.53989,27.49923,"3"
"801",56.85199,27.645881,"3"
"802",56.04928,27.30587,"3"
"803",56.2403,27.39315,"3"
"804",56.36182,27.44921,"3"
"805",56.518,27.52186,"3"
"806",56.13184,27.3767,"3"
"807",56.28804,27.44855,"3"
"808",56.44536,27.5219,"3"
"809",56.63511,27.61066,"3"
"810",56.14484,27.41598,"3"
"811",56.17957,27.43193,"3"
"812",56.57866,27.61774,"3"
"813",56.64804,27.65051,"3"
"814",56.80242,27.72591,"3"
"815",56.00137,27.37792,"3"
"816",56.12314,27.43932,"3"
"817",56.43159,27.56533,"3"
"818",56.47021,27.60035,"3"
