"","LAT","LONG","class","name"
"395",56.13444,26.81286,3,"intensive"
"396",56.46498,26.96038,3,"intensive"
"397",56.53455,26.99185,3,"intensive"
"398",56.00844,26.7905,3,"intensive"
"399",56.07784,26.82105,3,"intensive"
"400",56.47814,26.9999,3,"intensive"
"401",56.5129,27.01565,3,"intensive"
"402",57.13852,27.30509,3,"intensive"
"403",56.0242,26.83468,3,"intensive"
"404",56.10862,26.8678,3,"intensive"
"405",56.21304,26.91426,3,"intensive"
"406",56.45198,27.0561,3,"intensive"
"407",55.80449,26.80025,3,"intensive"
"408",55.72238,26.86311,3,"intensive"
"409",55.8225,26.93987,3,"intensive"
"410",56.01405,27.02423,3,"intensive"
"411",55.99222,27.04812,3,"intensive"
"412",55.93217,27.35219,3,"intensive"
"413",55.96719,27.36843,3,"intensive"
"414",55.94078,27.28987,3,"intensive"
"415",55.95383,27.32888,3,"intensive"
"416",55.94954,27.6251,3,"intensive"
"417",55.98422,27.64114,3,"intensive"
"418",55.93655,27.58604,3,"intensive"
"419",55.9713,27.59658,3,"intensive"
"420",55.90617,27.40656,3,"intensive"
"421",55.91921,27.44556,3,"intensive"
"422",55.87585,27.49195,3,"intensive"
"423",55.9279,27.51579,3,"intensive"
"424",57.57299,25.9269,3,"intensive"
"425",56.82914,26.85596,3,"intensive"
"426",57.17699,27.01576,3,"intensive"
"427",57.0255,27.18385,3,"intensive"
"428",56.6525,27.34892,3,"intensive"
"429",56.75236,27.42933,3,"intensive"
"430",56.78705,27.44562,3,"intensive"
"431",56.94323,27.5194,3,"intensive"
"432",56.97797,27.53593,3,"intensive"
"433",56.69592,27.4367,3,"intensive"
"434",56.95625,27.55957,3,"intensive"
"435",57.07765,27.61765,3,"intensive"
"436",57.16439,27.65939,3,"intensive"
"437",57.03857,27.63308,3,"intensive"
"438",57.12529,27.67478,3,"intensive"
"439",56.93011,27.61522,3,"intensive"
"440",56.98215,27.6401,3,"intensive"
"441",57.01647,27.6608,3,"intensive"
"442",56.71759,27.54821,3,"intensive"
"443",56.99509,27.68035,3,"intensive"
"444",56.74792,27.59638,3,"intensive"
"445",55.88314,26.90065,3,"intensive"
"446",57.35996,27.58226,3,"intensive"
"447",55.93089,26.95237,3,"intensive"
"448",55.85731,26.95525,3,"intensive"
"449",56.13557,27.07913,3,"intensive"
"450",55.87052,26.99408,3,"intensive"
"451",56.81932,24.52887,3,"intensive"
"452",56.30266,24.56275,3,"intensive"
"453",56.75151,24.80494,3,"intensive"
"454",58.01244,25.32321,3,"intensive"
"455",57.95611,25.33375,3,"intensive"
"456",57.63344,25.26564,3,"intensive"
"457",57.59462,25.28362,3,"intensive"
"458",57.75211,25.35033,3,"intensive"
"459",57.8396,25.38767,3,"intensive"
"460",57.87459,25.40266,3,"intensive"
"461",56.43488,24.84598,3,"intensive"
"462",57.53829,25.29418,3,"intensive"
"463",57.6433,25.33852,3,"intensive"
"464",57.85278,25.42815,3,"intensive"
"465",57.92318,25.45752,3,"intensive"
"466",57.55198,25.33423,3,"intensive"
"467",57.74442,25.41599,3,"intensive"
"468",57.86687,25.46855,3,"intensive"
"469",57.56564,25.3743,3,"intensive"
"470",57.61811,25.39656,3,"intensive"
"471",57.68836,25.4268,3,"intensive"
"472",57.72307,25.44132,3,"intensive"
"473",57.88047,25.50903,3,"intensive"
"474",57.64925,25.44419,3,"intensive"
"475",56.84039,25.14146,3,"intensive"
"476",57.66287,25.4844,3,"intensive"
"477",57.62015,25.53486,3,"intensive"
"478",57.70756,25.5725,3,"intensive"
"479",57.75611,25.62801,3,"intensive"
"480",56.58015,25.17016,3,"intensive"
"481",56.61517,25.18429,3,"intensive"
"482",57.68229,25.63046,3,"intensive"
"483",57.71724,25.64562,3,"intensive"
"484",57.8064,25.68401,3,"intensive"
"485",57.8763,25.71299,3,"intensive"
"486",57.88806,25.75478,3,"intensive"
"487",56.28491,25.18476,3,"intensive"
"488",57.77141,25.80733,3,"intensive"
"489",57.6063,25.80395,3,"intensive"
"490",57.72746,26.16786,3,"intensive"
"491",57.5275,26.14737,3,"intensive"
"492",57.29665,26.07951,3,"intensive"
"493",57.57578,26.20332,3,"intensive"
"494",57.64554,26.23462,3,"intensive"
"495",57.3235,26.15966,3,"intensive"
"496",57.41072,26.19834,3,"intensive"
"497",57.48048,26.22945,3,"intensive"
"498",57.45899,26.25416,3,"intensive"
"499",57.31542,26.22444,3,"intensive"
"500",57.47237,26.29447,3,"intensive"
"501",57.5421,26.32583,3,"intensive"
"502",57.49907,26.37521,3,"intensive"
